grading,R,G,B,H_HSV,S_HSV,V_HSV,H_HSI,S_HSI,I_HSI,CONTRAST,CORRELATION,ENERGY,HOMOGENEITY
A,80.2392578125,35.798828125,48.548828125,342.71527,0.5672778,0.31466377,5.9987574,0.3684106,0.2151463,202.7762096774208,0.40778183966427495,0.03790644289710304,0.14524801593384293
A,73.1171875,27.8837890625,42.103515625,341.0005,0.6404672,0.28673407,5.967491,0.45092702,0.1870647,186.19858870967923,0.5619357486951938,0.04264363124664799,0.1573185852128611
A,66.7578125,26.3642578125,45.955078125,328.45648,0.6550966,0.26945466,5.7385077,0.49477014,0.18180022,489.66129032258556,0.3884201018610464,0.03891834091229001,0.12866211220971724
A,84.8251953125,41.8076171875,53.60546875,343.28885,0.52312684,0.33264783,6.008413,0.32713735,0.23560561,257.9737903225832,0.49357124247363576,0.03489854712321306,0.12688343725655368
A,76.3623046875,31.23046875,45.013671875,341.5542,0.60912275,0.29946002,5.977628,0.41499522,0.19948557,185.46572580645403,0.5462130623542291,0.04079237413366574,0.15312892773833736
A,68.873046875,25.52734375,40.9892578125,337.2121,0.6599001,0.27174482,5.89885,0.48163456,0.17697994,250.77016129032435,0.5693638760224186,0.05435608755864185,0.20220912658077259
A,85.27734375,42.111328125,55.072265625,341.21017,0.5246115,0.3349035,5.970785,0.33323532,0.23851104,283.99697580645494,0.47306758843952246,0.0337588751000814,0.1402128453130007
A,83.8974609375,42.0986328125,53.689453125,343.26813,0.51377976,0.32900965,6.0083547,0.3185769,0.23488307,235.96774193548598,0.4911342887445168,0.03620621975013696,0.15186919249673428
A,80.740234375,39.47265625,50.79296875,343.5019,0.5263011,0.3166284,6.0128994,0.3287584,0.22353709,223.72278225806681,0.44777680954670585,0.035468975979353036,0.12949027400518637
A,112.3466796875,70.4931640625,93.421875,323.75336,0.41222423,0.44357765,5.6493807,0.27803788,0.36112642,1325.7419354838883,0.360455066696916,0.024454656190944276,0.042149977422787484
A,108.6494140625,72.07421875,94.7109375,319.44165,0.3745007,0.42732844,5.5716295,0.25608563,0.3600452,1303.3669354838873,0.39074006820813173,0.024968681605848832,0.04380807563669219
A,100.3359375,52.16015625,72.994140625,333.07004,0.5303666,0.39350492,5.8176317,0.37314627,0.29475847,1207.2701612903395,0.43983959085597085,0.025472336226801427,0.04958039065390028
A,106.68359375,58.7744140625,77.177734375,335.94263,0.46970132,0.418727,5.8731155,0.30077153,0.3171709,680.2671370967814,0.4001174616705498,0.028725417033821327,0.11507212946686193
A,103.8388671875,56.76953125,73.927734375,337.6833,0.47030762,0.40725338,5.905275,0.2962469,0.3065832,580.9909274193619,0.35311707461970115,0.029759252861140898,0.10128228727184845
A,93.6357421875,44.4052734375,64.484375,335.352,0.54559916,0.367199,5.8615828,0.37096894,0.2647391,520.0655241935546,0.32951807341576705,0.033043918151378776,0.11776208899619964
A,92.9296875,45.2900390625,61.5322265625,339.48108,0.52838075,0.36443013,5.9390464,0.3429287,0.26111367,306.7399193548418,0.4454636008964897,0.03166991546855898,0.11294708961318789
A,82.5859375,32.8779296875,52.1767578125,336.5677,0.6234629,0.32386643,5.8849354,0.44575498,0.21913809,252.5816532258091,0.5470677120558358,0.04125066021292345,0.14710798610640735
A,88.421875,42.689453125,64.376953125,328.54865,0.57884693,0.35006896,5.7402983,0.42519188,0.25554025,745.3598790322662,0.6581264362513536,0.03687367168986226,0.129497759360676
A,88.9765625,43.8017578125,58.8212890625,340.0647,0.5177909,0.34892768,5.950141,0.3292772,0.25045705,127.71471774193628,0.6018529800696096,0.039514328876047534,0.16977454163115646
A,70.1669921875,30.3876953125,47.1396484375,332.5487,0.63232875,0.27625996,5.8099785,0.47603273,0.19306451,720.476814516137,0.49791123011439775,0.036783996553465495,0.1421543871413956
A,77.8115234375,35.1259765625,58.3408203125,325.53372,0.57565343,0.30606234,5.681186,0.42178205,0.22389325,683.2530241935561,0.1781030860366022,0.041520756706892925,0.12608220656831012
A,79.044921875,25.3017578125,43.484375,339.36517,0.6918428,0.31056604,5.9380417,0.5077442,0.1932432,207.9586693548393,0.20812715377086613,0.054918703515630635,0.19880755242140014
A,80.2587890625,27.2490234375,44.33984375,340.59006,0.6775172,0.31474036,5.960253,0.4914451,0.19849367,295.9405241935512,0.26469203585015066,0.039501468231646325,0.1407228270980594
A,81.1181640625,27.9345703125,43.8271484375,341.99237,0.6726111,0.31811047,5.985951,0.48178875,0.19984299,251.45161290322787,0.3496109708949074,0.03987274282573801,0.1588192290302748
A,89.244140625,35.294921875,52.6640625,340.54547,0.6154648,0.34997705,5.959245,0.42062348,0.23163807,171.64112903226004,0.5034205085205762,0.048155527872969686,0.18232536112081058
A,86.15234375,35.392578125,53.7802734375,338.0724,0.60007226,0.33785236,5.913015,0.41125083,0.22918329,175.81451612903373,0.46945897065837044,0.046343566588600026,0.16347247928029912
A,91.1220703125,36.0556640625,53.1982421875,341.05087,0.62136924,0.35734147,5.968334,0.42780405,0.2357856,359.25000000000375,0.3870952373561879,0.04013945310900088,0.14182360873108785
A,84.677734375,42.162109375,63.998046875,328.6071,0.5366631,0.33206958,5.733392,0.38125896,0.24946132,931.4929435483979,0.20537027815467027,0.029673762156321417,0.060103055103446365
A,80.4736328125,38.759765625,59.9130859375,328.72504,0.55313784,0.3156135,5.736502,0.3971088,0.23417842,808.0131048387183,0.23243059461586643,0.030090345880241308,0.07964740879247716
A,74.7138671875,35.58203125,57.3271484375,325.29874,0.56330526,0.2942019,5.675686,0.4135726,0.21911511,853.4858870967838,0.15636519085173228,0.03213180937602715,0.08898524484082415
A,77.7255859375,39.8916015625,63.3671875,321.52338,0.52132845,0.30604705,5.6049824,0.38017708,0.2365809,618.8094758064577,0.353636510945782,0.030906672816040922,0.0860077454643906
A,78.7236328125,43.787109375,67.025390625,319.028,0.48739737,0.3096584,5.5589933,0.35588044,0.24775966,783.7278225806547,0.3949846383864635,0.028751936889016276,0.07307288975412231
A,74.654296875,42.1826171875,64.25,317.3035,0.49642128,0.29575676,5.5318575,0.36484587,0.23671493,832.4143145161387,0.5005904275109259,0.027817832109973815,0.07460015831486685
A,17.53515625,17.251953125,34.4375,241.65147,0.5625725,0.13504903,4.2132044,0.33455557,0.09048969,380.67338709677574,0.34290929948135274,0.11056818142321183,0.3325637167899897
A,16.9892578125,16.32421875,32.8583984375,242.73074,0.5695715,0.12885648,4.230417,0.34687144,0.086499184,401.2026209677434,0.21648175228304561,0.09817378797001225,0.2938946055730725
A,16.9306640625,16.0595703125,32.5771484375,243.7804,0.59149814,0.12775353,4.2500668,0.37821501,0.085709006,514.6260080645181,0.1829094016325992,0.08520083526353808,0.2768246443144141
A,66.7626953125,38.0361328125,56.259765625,311.91125,0.50838983,0.27643996,5.4446707,0.34902203,0.21053413,635.9697580645222,0.5328493574563598,0.028008959656149482,0.09430078717033749
A,85.5029296875,47.81640625,68.8701171875,325.34073,0.46517685,0.33570004,5.6752863,0.31854305,0.26429996,624.7943548387174,0.3590212963523737,0.02896322156967546,0.0808275463658659
A,91.6279296875,55.22265625,78.99609375,319.56213,0.42214605,0.36015242,5.5703278,0.2925721,0.29522443,834.476814516137,0.276891693281637,0.02775383043938823,0.06678228260424333
A,72.87890625,40.1474609375,58.83984375,322.0724,0.48833197,0.2893306,5.619596,0.33928338,0.22466174,603.9788306451694,0.3881940890507483,0.029085762190027977,0.09067024753588454
A,84.2607421875,49.6669921875,72.4482421875,319.021,0.44167793,0.33260572,5.56278,0.3087979,0.26977253,764.6209677419452,0.32757151871170614,0.028458859301398173,0.06426147064295581
A,92.4931640625,57.509765625,81.5947265625,316.997,0.4106062,0.3653263,5.527727,0.28542614,0.30274203,1001.8981854838837,0.27285023911605016,0.02584855121967406,0.044301834378076076
A,86.3974609375,54.6630859375,77.7470703125,314.88904,0.40418375,0.34298408,5.4895277,0.28139943,0.28602302,984.6885080645261,0.25966300615069,0.02708675169867887,0.05314733535015284
A,96.173828125,62.748046875,87.72265625,313.49536,0.38777065,0.3817938,5.46566,0.27073252,0.32241118,1334.3074596774352,0.24808735090987005,0.02572046536728494,0.05143219779581838
A,95.8916015625,60.2353515625,85.53125,315.65436,0.4164641,0.3794577,5.504227,0.29457256,0.3158931,1547.908266129051,0.21038324339715195,0.024774608321461115,0.043907589571769844
A,90.767578125,59.6669921875,83.5830078125,312.42722,0.39526206,0.361443,5.446725,0.28071243,0.30590534,1646.214717741956,0.1553677819645358,0.0248155919860713,0.034309218516004575
A,93.89453125,59.986328125,85.6201171875,313.13565,0.4293872,0.37426856,5.461642,0.31320608,0.3130732,1999.5635080645459,0.21930308384054756,0.024651248509350115,0.0412429117456778
A,93.751953125,56.708984375,82.814453125,315.3767,0.46843272,0.37437576,5.5040245,0.3435544,0.30493516,1978.4808467742237,0.26340922106428966,0.024968681605848843,0.04709523094562311
A,99.6376953125,65.888671875,89.87109375,315.32874,0.37561107,0.39599037,5.5010934,0.25570232,0.3338529,1237.5635080645318,0.2503616106571569,0.025502239194906733,0.04784606903624343
A,101.435546875,65.82421875,93.837890625,310.97833,0.4048782,0.4056641,5.4247746,0.28942338,0.34130412,1571.4828629032459,0.29168366149195213,0.02487694088559122,0.04551709673771682
A,101.9736328125,63.373046875,92.0087890625,312.7615,0.44828913,0.41065794,5.459008,0.32461512,0.33641243,1614.9758064516345,0.3970807141027124,0.02518144354192943,0.061117129582556246
A,98.875,57.998046875,76.068359375,332.09866,0.4782186,0.38781786,5.798451,0.3335272,0.30449858,1397.5776209677592,0.5171783337718526,0.026073623299148835,0.06093255446513385
A,97.197265625,56.66015625,73.666015625,330.3,0.48828575,0.38134575,5.7688055,0.34233293,0.29741627,1376.1975806451812,0.5279427955718629,0.025750080190413333,0.058978306488351666
A,89.0146484375,49.0234375,67.1494140625,319.83853,0.5199286,0.35128677,5.583391,0.3772139,0.26821896,1453.5594758064715,0.41287503272129344,0.026575456303355557,0.05763739280198196
