grading,R,G,B,H_HSV,S_HSV,V_HSV,H_HSI,S_HSI,I_HSI,CONTRAST,CORRELATION,ENERGY,HOMOGENEITY
A,80.6220703125,36.09765625,48.890625,342.69034,0.56611496,0.31616497,5.9982586,0.3674094,0.21648413,233.83971774193702,0.355853610705797,0.037596887497926286,0.15385324159784755
A,72.8583984375,27.837890625,42.0703125,340.86664,0.64175737,0.28571922,5.964994,0.45365304,0.18662302,201.3891129032279,0.5544002576845646,0.0399872650610859,0.1474344024492286
A,83.205078125,42.822265625,60.9326171875,328.96393,0.5564593,0.33009347,5.7500796,0.40222958,0.24439213,952.4606854838821,0.5657188948325034,0.03341091415156575,0.11417564782927037
A,84.912109375,41.8271484375,53.5732421875,343.39636,0.5233977,0.33298868,6.0103498,0.32693404,0.23570263,243.86189516129264,0.5154706609189034,0.03395397135705498,0.12051808046190837
A,76.3203125,31.2021484375,44.9521484375,341.58832,0.60933733,0.29929537,5.9782286,0.4151252,0.19931322,183.102822580647,0.5539291468901706,0.04040440287062698,0.1382665500201404
A,68.5078125,25.2509765625,40.619140625,337.35028,0.6604965,0.26997936,5.9012585,0.48239285,0.17565744,253.33467741935667,0.545335526074282,0.05377341557335446,0.181336834898059
A,85.501953125,42.25,55.1591796875,341.536,0.523809,0.33550858,5.9766483,0.33213115,0.23909953,304.38004032258334,0.4494642766708228,0.03340330952778411,0.13383674201074372
A,84.2451171875,42.4912109375,53.9990234375,343.37622,0.5109655,0.330373,6.0103254,0.31577304,0.23625538,214.86794354838977,0.5361464198622057,0.03667332613625238,0.15839120366219145
A,80.4697265625,39.326171875,50.6318359375,343.46118,0.52612853,0.31556755,6.0121603,0.32864788,0.22278136,198.59677419355037,0.48889609722279415,0.03781921669819352,0.1563446067048953
A,112.3291015625,70.142578125,93.0625,324.24042,0.41284412,0.44243258,5.6578283,0.27820653,0.36017543,1315.7520161290493,0.3666190903156882,0.024599666011920568,0.04070934711268002
A,109.1806640625,72.681640625,95.4892578125,319.11493,0.3723237,0.42953813,5.565996,0.25425893,0.36255106,1296.6330645161484,0.4090175256195605,0.024640940648347785,0.045514427029744425
A,101.91015625,67.591796875,89.990234375,317.18484,0.37977678,0.40301013,5.533536,0.26076573,0.3392055,1357.3508064516325,0.3467810547864974,0.02517135280077419,0.051692876218703575
A,106.873046875,58.62890625,77.037109375,336.2693,0.47101855,0.41933978,5.878925,0.30123395,0.31704456,640.2953629032329,0.4096261858663425,0.029372585250673065,0.12083880026661241
A,104.1572265625,56.7021484375,74.05859375,337.7126,0.47296986,0.40849417,5.905814,0.29846388,0.30708233,581.0846774193607,0.3768124498877562,0.03055117431591151,0.11148461964454114
A,94.0224609375,44.58203125,64.71875,335.3996,0.5472197,0.36871552,5.862521,0.37290707,0.26578203,547.3739919354891,0.34303032724160853,0.0318618561074181,0.12316926305863093
A,93.220703125,45.28125,61.68359375,339.4146,0.5304364,0.3655714,5.937774,0.34514534,0.26168045,306.5766129032282,0.4632204847772715,0.03213180937602707,0.1167956552567645
A,81.921875,32.34375,51.8447265625,336.1339,0.6277039,0.32129672,5.876918,0.45136583,0.21713772,281.35887096774456,0.5023461534197566,0.04151463766527,0.15168288142416939
A,89.15234375,43.7158203125,65.4599609375,328.10107,0.57350004,0.35292205,5.7321653,0.42155868,0.25925246,905.6542338709789,0.6130554740481726,0.03668717819572107,0.12963423814509079
A,88.8818359375,43.5712890625,58.59375,340.11014,0.5202812,0.34855622,5.9509788,0.33144248,0.24973448,142.08770161290454,0.5772900287339222,0.0399173182927889,0.18523408600137725
A,81.484375,35.92578125,53.4306640625,336.05908,0.5846828,0.3200176,5.8765745,0.40543392,0.22332135,227.1995967741958,0.6477181242601636,0.045753248862541986,0.1901042351585633
A,96.2861328125,56.27734375,77.2109375,323.81827,0.47848836,0.38234913,5.656664,0.33522776,0.3003587,766.9969758064608,0.6855711034963778,0.033097691853593035,0.12211983195565754
A,80.1806640625,27.1787109375,46.677734375,335.8739,0.6921972,0.32206267,5.8767796,0.50934803,0.20135571,192.17741935483957,0.6894101660539146,0.058632623464580785,0.23483119339115854
A,79.337890625,25.3037109375,43.3271484375,339.84283,0.6924435,0.31125155,5.946724,0.5080291,0.19342321,214.95665322580714,0.1507690411031119,0.054112505106463656,0.20557860134241066
A,80.3740234375,27.37109375,44.4150390625,340.64584,0.67685336,0.31519225,5.9613094,0.49074697,0.19890217,335.5675403225834,0.18840778394652039,0.039022644860576286,0.14673506386041613
A,89.2890625,35.146484375,52.3427734375,340.82053,0.61689854,0.3501532,5.9643707,0.42118892,0.23108277,151.9586693548403,0.5359799543117445,0.04777949325062239,0.17512968226794984
A,86.30078125,35.5732421875,53.8349609375,338.20258,0.59903604,0.33843446,5.9154415,0.40999115,0.22968496,166.47580645161477,0.512475076309329,0.04523952756515554,0.17256208048568436
A,90.890625,35.974609375,53.1357421875,340.96893,0.62141335,0.3564338,5.96683,0.42814013,0.23529541,363.7631048387134,0.3816385109823763,0.038820301439454856,0.13500179919873279
A,84.7001953125,42.333984375,64.107421875,328.5763,0.5356445,0.33217296,5.7329106,0.3806864,0.2498583,965.1895161290448,0.19378832973509277,0.029458949992344476,0.06646172624044573
A,80.4697265625,38.9189453125,60.0595703125,328.56308,0.55043197,0.31559438,5.733712,0.3945517,0.23457287,854.7489919354935,0.187699315027441,0.03047624285853101,0.07602010715545782
A,74.5986328125,35.6025390625,57.4052734375,325.0595,0.5631013,0.29380745,5.6713967,0.4138391,0.2190934,936.7600806451719,0.12551996110589939,0.032202888800329676,0.08452757888871759
A,76.5859375,39.6630859375,65.2119140625,315.99164,0.5646324,0.3269876,5.5147724,0.40018776,0.23720387,372.5090725806486,0.6631317090903066,0.039961844038134416,0.14079085229516053
A,76.6259765625,35.6103515625,58.4990234375,324.8694,0.5717354,0.30734912,5.669874,0.4113292,0.22318348,393.60685483871384,0.44625568974022684,0.03635327201664684,0.1329306854856591
A,78.0625,40.103515625,63.4345703125,321.8351,0.51996243,0.307307,5.610877,0.37823302,0.2373864,620.0997983871034,0.3390508485072418,0.029988860444846593,0.0839199927000714
A,19.9521484375,18.5595703125,36.2412109375,245.60783,0.5456438,0.1421224,4.280468,0.32876003,0.09771626,331.51411290322756,0.40361556297535117,0.07907364987515442,0.27077223871599576
A,17.4208984375,17.064453125,34.109375,241.8429,0.55896914,0.13376226,4.216307,0.3314954,0.089666314,329.33870967742115,0.33359545339110525,0.09647446022148062,0.2914187646913486
A,17.0185546875,16.40234375,33.009765625,242.60385,0.5689601,0.12945007,4.2284,0.3464958,0.086837485,386.51915322580845,0.19697684548415031,0.08459337226777089,0.2651525314359825
A,31.91015625,23.125,40.6669921875,265.82886,0.560225,0.17256436,4.6423464,0.373703,0.12510085,645.4304435483947,0.402509637947183,0.06611473955496065,0.2328122251036007
A,64.6240234375,36.8125,55.29296875,309.2772,0.52057326,0.2692402,5.3974504,0.36303717,0.20487517,766.3860887096881,0.4979033562837887,0.027348104770667046,0.10171254594069457
A,86.97265625,48.537109375,70.0810546875,325.32516,0.46998057,0.34136796,5.674432,0.3246678,0.2687462,658.10887096775,0.3905966574931881,0.02760698374522074,0.0778843236930559
A,50.525390625,32.048828125,50.2353515625,291.1177,0.53156734,0.23387334,5.0838337,0.35534096,0.17360729,565.2116935483956,0.6368195904929527,0.039872742825737585,0.1587141911236496
A,73.4140625,40.375,58.9150390625,321.8341,0.49594897,0.29264706,5.615908,0.34411025,0.225757,623.4758064516212,0.4441761178816514,0.02804521722428207,0.08041355606407066
A,86.5361328125,50.609375,73.6904296875,320.16403,0.44572914,0.3408931,5.5818357,0.3114558,0.27560258,769.621975806461,0.3653253817755192,0.027114874307082842,0.06420027918035409
A,75.79296875,44.25,62.623046875,321.70087,0.45468834,0.2994907,5.613201,0.31642187,0.23877913,832.5584677419463,0.2699376172210818,0.026964548135273367,0.06055230041049568
A,85.361328125,52.1474609375,74.1337890625,318.81873,0.4270411,0.33716685,5.557832,0.29766566,0.276657,1067.5262096774322,0.2649969192904899,0.02698338470629942,0.05555378668375261
A,96.0517578125,61.3623046875,85.7802734375,316.19638,0.40629607,0.38007045,5.512561,0.2859185,0.3179011,1436.6965725806615,0.2902919152936508,0.025231836715290428,0.04247945178838899
A,91.564453125,60.349609375,84.2939453125,312.51968,0.39458323,0.3641391,5.4479275,0.28075185,0.30876863,1998.8407258064801,0.08124979702821629,0.024630628473529866,0.03140175573451296
A,93.76953125,60.02734375,85.88671875,312.54578,0.43116242,0.37420726,5.4515057,0.3153519,0.3133119,2378.3417338710033,0.1584980388573117,0.024319230003659202,0.04208120036230137
A,91.5615234375,55.0546875,81.630859375,314.0025,0.47647002,0.36708412,5.4800215,0.3520244,0.2983622,2100.54233870971,0.24350575957074774,0.02503980312172264,0.05445005394404173
A,99.6494140625,65.7890625,90.02734375,315.0224,0.37793007,0.396178,5.495442,0.258137,0.33394226,1250.2832661290458,0.26357789046305685,0.025332322324857444,0.053275432507957535
